ID;Longitude;Latitude;ORDEM;DATA_IMPLA;PREDIAL;CDL1;CDL2;LOG1;LOG2;LOCAL;LOCAL_SIG;TIPO;OBSERVACAO;CODIGO
1428;-51.217749;-30.041958;28;19790205;0;7877228;7876071;R GEN LIMA E SILVA;AV VENANCIO AIRES;R GEN LIMA E SILVA & AV VENANCIO AIRES;R GEN LIMA E SILVA & AV VENANCIO AIRES;CRUZAMENTO;;JOA-VEN
1539;-51.222942;-30.030348;29;;0;7877061;7877319;R PROF ANNES DIAS;PCA DOM FELICIANO;R PROF ANNES DIAS & PCA DOM FELICIANO;R PROF ANNES DIAS & PCA DOM FELICIANO;CRUZAMENTO;PROX HOSPITAL STA CLARA;ANN-PD01
1585;-51.211447;-30.043020;30;20040119;536;7976202;;R SANTANA;;536 R SANTANA;536 R SANTANA;PEDESTRE;BC PROX R LAURINDO;SAN-JER
1611;-51.220840;-30.032866;31;20020706;426;7877343;;R SARMENTO LEITE;;426 R SARMENTO LEITE;426 R SARMENTO LEITE;PEDESTRE;FACULDADE ARQUITETURA;SAR-PD01
1612;-51.220034;-30.031545;32;;0;7877343;7877517;R SARMENTO LEITE;TUN NS DA CONCEICAO-AC RUA SARMENTO;R SARMENTO LEITE & TUN NS DA CONCEICAO-AC RUA SARMENTO;R SARMENTO LEITE & TUN NS DA CONCEICAO-AC RUA SARMENTO;CRUZAMENTO;;SAR-TUN
1634;-51.231559;-30.028754;33;;1019;7777162;7778046;R SIQUEIRA CAMPOS;;1019 R SIQUEIRA CAMPOS;1019 R SIQUEIRA CAMPOS;PEDESTRE;ESQ SEPULVEDA;SIQ-PD03
1637;-51.229306;-30.027978;34;;1245;7777162;7778103;R SIQUEIRA CAMPOS;;1245 R SIQUEIRA CAMPOS;1245 R SIQUEIRA CAMPOS;PEDESTRE;;SIQ-PD01
1639;-51.241973;-30.077849;35;20030913;437;7672066;;R TAQUARY;;437 R TAQUARY;437 R TAQUARY;PEDESTRE;COLEGIO PARANA;TAQ-PD01
1672;-51.157623;-30.013734;36;8102012;0;8479156;8480436;R VISCONDE DE MACAE;R ALVARES CABRAL;R VISCONDE DE MACAE & R ALVARES CABRAL;R VISCONDE DE MACAE & R ALVARES CABRAL;CRUZAMENTO;;VMC-ACA
1679;-51.213419;-30.017694;37;;1879;7878168;;R VOLUNTARIOS DA PATRIA;;1879 R VOLUNTARIOS DA PATRIA;1879 R VOLUNTARIOS DA PATRIA;PEDESTRE;;VOL-PD03
